"Day";"DateTime";"IdRFID";"unitLabel";"eventDuration";"sense1duration";"reinforce1value";"reinforce1Account";"outFuncLabel";"outLabel";"SystemMsg";"MsgValue1";"IdLabel";"Cage";"Discard";"Stage";"Substage";"Notes"
1;2021-11-10 01:24:24;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
1;2021-11-10 01:26:26;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
3;2021-11-11 22:18:59;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
3;2021-11-11 22:21:01;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
4;2021-11-12 22:39:05;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
4;2021-11-12 22:41:08;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
5;2021-11-13 19:49:44;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
5;2021-11-13 19:51:46;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
5;2021-11-13 22:31:22;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
5;2021-11-13 22:33:24;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
5;2021-11-14 00:59:36;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
5;2021-11-14 01:01:39;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
6;2021-11-14 17:10:39;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
6;2021-11-14 17:12:41;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
6;2021-11-14 21:21:40;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
6;2021-11-14 21:23:43;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
6;2021-11-15 00:30:21;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
6;2021-11-15 00:32:23;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
7;2021-11-15 19:42:07;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
7;2021-11-15 19:44:09;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
7;2021-11-15 23:51:43;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
7;2021-11-15 23:53:45;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
8;2021-11-16 20:38:08;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
8;2021-11-16 20:40:10;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
8;2021-11-17 00:29:25;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
8;2021-11-17 00:31:27;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
9;2021-11-17 23:32:57;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
9;2021-11-17 23:34:59;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
10;2021-11-18 18:53:46;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
10;2021-11-18 18:55:48;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
10;2021-11-18 22:37:49;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
10;2021-11-18 22:39:51;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
11;2021-11-19 22:14:51;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
11;2021-11-19 22:16:53;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
12;2021-11-20 20:06:18;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
12;2021-11-20 20:08:20;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
12;2021-11-21 00:25:07;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
12;2021-11-21 00:27:09;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
13;2021-11-21 19:30:57;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
13;2021-11-21 19:32:59;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
13;2021-11-21 22:47:23;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
13;2021-11-21 22:49:25;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
14;2021-11-22 18:48:29;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
14;2021-11-22 18:50:32;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
14;2021-11-22 21:50:03;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
14;2021-11-22 21:52:05;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
14;2021-11-23 00:38:45;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
14;2021-11-23 00:40:47;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
15;2021-11-23 20:03:38;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
15;2021-11-23 20:05:40;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
15;2021-11-23 22:29:48;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
15;2021-11-23 22:31:50;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
15;2021-11-24 01:06:42;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
15;2021-11-24 01:08:44;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
16;2021-11-24 18:40:50;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
16;2021-11-24 18:42:52;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
16;2021-11-24 21:57:32;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
16;2021-11-24 21:59:34;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
16;2021-11-25 00:42:31;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
16;2021-11-25 00:44:33;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
17;2021-11-25 22:00:47;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
17;2021-11-25 22:02:49;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
18;2021-11-26 22:27:03;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
18;2021-11-26 22:29:05;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
19;2021-11-27 19:11:00;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
19;2021-11-27 19:13:02;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
19;2021-11-28 00:28:45;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
19;2021-11-28 00:30:47;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
20;2021-11-28 19:09:26;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
20;2021-11-28 19:11:28;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
20;2021-11-29 00:00:15;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
20;2021-11-29 00:02:17;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
21;2021-11-29 23:54:21;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
21;2021-11-29 23:56:24;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
22;2021-11-30 22:50:24;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
22;2021-11-30 22:52:26;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
23;2021-12-01 19:16:11;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
23;2021-12-01 19:18:13;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
23;2021-12-01 23:12:26;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
23;2021-12-01 23:14:28;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
25;2021-12-03 20:30:03;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
25;2021-12-03 20:32:05;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
25;2021-12-04 00:20:34;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
25;2021-12-04 00:22:36;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
26;2021-12-04 20:37:25;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
26;2021-12-04 20:39:28;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
26;2021-12-05 00:40:27;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
26;2021-12-05 00:42:30;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
29;2021-12-07 22:00:28;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
29;2021-12-07 22:02:30;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
30;2021-12-08 21:38:29;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
30;2021-12-08 21:40:31;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
31;2021-12-09 21:27:46;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
31;2021-12-09 21:29:48;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
31;2021-12-10 01:34:48;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
31;2021-12-10 01:36:51;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
32;2021-12-10 22:48:29;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
32;2021-12-10 22:50:31;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
33;2021-12-11 21:44:45;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
33;2021-12-11 21:46:47;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
34;2021-12-12 21:43:42;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
34;2021-12-12 21:45:45;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
35;2021-12-13 21:28:10;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
35;2021-12-13 21:30:12;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
36;2021-12-14 19:14:30;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
36;2021-12-14 19:16:33;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
36;2021-12-15 00:21:04;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
36;2021-12-15 00:23:07;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
37;2021-12-15 20:17:49;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
37;2021-12-15 20:19:51;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
37;2021-12-16 01:03:44;"";"pumpBeh";NA;"";NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
37;2021-12-16 01:05:47;"";"pumpBeh";NA;"";NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
